"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 74.08","62","232","Barron Park","3","0","3","26","","$3,500,000","03/24/2014","43,262","ML81409395","137-16-005","Palo Alto","1,359.20","04/19/2014","$3,205,000","2,358","Sold","950 MATADERO Avenue","1952","94306","RIEAC"
"$ 272.09","15","3","Evergreen","4","2","5","1","120","$3,498,000","03/20/2014","11,761","ML81408886","680-34-027","San Jose","462.43","03/21/2014","$3,200,000","6,920","Sold","5711 LA SEYNE Place","1999","95138","A-PD"
"$ 109.19","26","16","Los Gatos/Monte Sereno","3","2","4","153","","$3,200,000","03/31/2014","29,307","ML81410363","410-04-017","Los Gatos","650.41","","","4,920","Expired","15775 OAK KNOLL Court","1988","95030","HR"
"$ 293.04","6","208","Grant","4","0","4","8","","$2,688,000","04/01/2014","10,920","ML81410566","197-35-025","Mountain View","892.86","04/09/2014","$3,200,000","3,584","Sold","2012 SUN MOR Avenue","2008","94040","R1-10"
"$ 274.40","51","301","Sharon Heights / Stanford Hills","3","1","4","41","","$3,199,000","04/09/2014","11,662","ML81412010","074-184-190","Menlo Park","995.95","05/20/2014","$3,200,000","3,213","Sold","850 MONTE ROSA Drive","1963","94025","R10"
"$ 233.78","22","211","North Los Altos","4","1","5","23","","$3,199,000","04/05/2014","13,410","ML81411210","167-10-045","Los Altos","878.64","04/28/2014","$3,135,000","3,568","Sold","1092 LAURELES Drive","1992","94022","R1"
"$ 236.74","74","439","San Mateo Park / El Cerrito Park","4","1","5","13","","$3,095,000","03/29/2014","13,200","ML81410172","031-091-120","San Mateo","684.56","04/11/2014","$3,125,000","4,565","Sold","410 GLENDALE Road","1940","94402","R1"
"$ 70.46","58","292","Middlefield to El Camino Atherton","3","0","4","14","","$2,825,000","03/17/2014","43,996","ML81408368","060-200-110","Atherton","1,265.31","03/31/2014","$3,100,000","2,450","Sold","79 JENNINGS Lane","1956","94027","R1"
"$ 71.17","27","263","Central Portola Valley","2","1","4","8","","$2,975,000","03/17/2014","43,560","ML81408377","079-071-180","Portola Valley","939.39","03/25/2014","$3,100,000","3,300","Sold","3 VERONICA Place","1987","94028","R1"
"$ 177.14","57","212","Country Club","3","0","4","9","","$2,998,000","03/18/2014","17,500","ML81408897","331-07-046","Los Altos","997.43","03/27/2014","$3,100,000","3,108","Sold","1686 MILLER Avenue","1957","94024","R1-20"
"$ 379.72","73","238","Green Gables","3","0","4","14","","$2,758,000","04/09/2014","8,164","ML81411754","003-56-066","Palo Alto","1,210.94","04/23/2014","$3,100,000","2,560","Sold","795 SEALE Avenue","1941","94303","R1"
"$ 1,770,857.14","29","16","Los Gatos/Monte Sereno","3","1","4","179","20","$3,099,000","04/13/2014","2","ML81412223","527-55-037","Los Gatos","585.71","","","5,291","Canceled","320 SANTA ROSA Drive","1985","95032","HR"
"$ 93.58","38","444","Tobin Clark Estate / Polo Terrace","2","2","4","6","","$2,800,000","03/21/2014","32,912","ML81409161","038-323-050","Hillsborough","965.52","03/27/2014","$3,080,000","3,190","Sold","903 TOURNAMENT Drive","1976","94010","R1"
"$ 128.06","14","17","Saratoga","4","1","5","54","","$3,380,000","04/04/2014","24,052","ML81410955","389-34-022","Saratoga","780.34","05/28/2014","$3,080,000","3,947","Sold","18180 SAGE Court","2000","95070","R120"
"$ 117.37","6","445","Lakeview","3","1","5","81","","$3,300,000","04/06/2014","26,200","ML81411251","038-061-040","Hillsborough","706.08","06/26/2014","$3,075,000","4,355","Sold","1640 WEDGEWOOD Drive","2008","94010","R100"
"$ 436.71","70","237","Old Palo Alto","3","0","3","13","","$2,880,000","04/05/2014","7,000","ML81411180","124-17-068","Palo Alto","832.52","04/18/2014","$3,057,000","3,672","Sold","1764 EMERSON Street","1944","94301","R1"
"$ 280.07","14","18","Cupertino","4","1","6","10","","$2,588,888","03/19/2014","10,890","ML81408701","357-12-062","Cupertino","726.54","03/29/2014","$3,050,000","4,198","Sold","22092 SAN FERNANDO Court","2000","95014","R1-8"
"$ 300.29","16","211","North Los Altos","3","1","5","11","","$2,998,000","04/14/2014","10,157","ML81412382","170-15-019","Los Altos","978.19","04/25/2014","$3,050,000","3,118","Sold","574 PANCHITA Way","1998","94022","R1"
"$ 268.45","66","211","North Los Altos","3","0","5","6","","$2,298,000","04/03/2014","11,179","ML81410787","170-18-013","Los Altos","1,393.22","04/09/2014","$3,001,000","2,154","Sold","344 ALVARADO Avenue","1948","94022","R1"
"$ 169.60","50","211","North Los Altos","2","1","3","11","","$1,898,000","03/31/2014","17,689","ML81410374","167-37-019","Los Altos","1,344.09","04/11/2014","$3,000,000","2,232","Sold","75 VIEW Street","1964","94022","R1"
"$ 342.86","63","291","El Camino to Alameda","4","0","4","3","","$2,695,000","04/04/2014","8,750","ML81410963","059-274-020","Atherton","886.00","04/07/2014","$3,000,000","3,386","Sold","260 SELBY Lane","1951","94027","R1"
