"Group.1","x","Freq.x","x.x.0%","x.x.10%","x.x.20%","x.x.30%","x.x.40%","x.x.50%","x.x.60%","x.x.70%","x.x.80%","x.x.90%","x.x.100%","x.y","Freq.y"
"2", 462.4007, 1, 295.80153, 394.09467, 421.14078, 443.24423, 473.91118, 508.45166, 528.16165, 553.67767, 597.79648, 636.53494, 827.20588, 508.4517,165
"2,200",NA,NA, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000, 400.0000,  1
"2,500",NA,NA, 666.90699, 666.90699, 666.90699, 666.90699, 666.90699, 666.90699, 666.90699, 666.90699, 666.90699, 666.90699, 666.90699, 666.9070,  1
"2,619",NA,NA, 421.29630, 454.76190, 488.22751, 521.69312, 555.15873, 588.62434, 622.08995, 655.55556, 689.02116, 722.48677, 755.95238, 588.6243,  2
"200",NA,NA, 759.52381, 797.03748, 834.55115, 876.20585, 917.86055,1016.80065,1115.74074,1117.83510,1119.92945,1147.98556,1176.04167,1016.8006,  6
"201",NA,NA, 725.51391, 737.32752, 758.85252, 789.76123, 833.27107, 854.53200, 869.62269, 891.53668, 937.42504, 985.67497,1031.74603, 854.5320,  8
"203",1176.7157, 6, 632.26766, 802.15324, 874.42176, 957.43329, 970.90845, 997.66209,1040.57741,1086.62506,1130.92252,1185.09378,1394.84979, 997.6621, 30
"204",NA,NA, 931.67702, 950.10137, 968.52573, 986.95009,1021.97323,1065.29577,1108.61831,1182.01087,1315.54348,1449.07609,1582.60870,1065.2958,  4
"205",NA,NA, 841.39651, 948.10315,1015.28162,1076.72944,1117.48473,1156.91489,1174.40996,1302.63158,1325.65789,1397.88719,1425.43860,1156.9149, 17
"206",NA,NA, 440.42998, 611.48352, 782.53707, 796.40020, 810.26334, 975.66458,1141.06583,1201.07479,1261.08374,1353.68237,1446.28099, 975.6646,  6
"207",1220.9578, 3, 686.31040, 859.71069, 910.33909,1049.85562,1096.59995,1134.07744,1215.38615,1231.89198,1326.31384,1542.41758,2094.07216,1134.0774, 32
